Rxn name	Formula	Gene-reaction association	LB	UB	Objective
arm_ACOAD3f	fad_c[c] + occoa_c[c]  -> pmet_ACOAD3f[c] 	PP_1893 or PP_2048 or PP_2039	  0.00	999999.00	  0.00
ACOAD3fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD3f[c]  -> fadh2_c[c] + oc2coa_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD3fNo2	pmet_ACOAD3f[c] + 7.7809e-06 prot_Q88L87[c]  -> fadh2_c[c] + oc2coa_c[c] 	PP_2048	  0.00	999999.00	  0.00
ACOAD3fNo3	pmet_ACOAD3f[c] + 7.7809e-06 prot_Q88L96[c]  -> fadh2_c[c] + oc2coa_c[c] 	PP_2039	  0.00	999999.00	  0.00
arm_ACOAD4f	dcacoa_c[c] + fad_c[c]  -> pmet_ACOAD4f[c] 	PP_1893 or PP_2048 or PP_2039 or PP_2437	  0.00	999999.00	  0.00
ACOAD4fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD4f[c]  -> dc2coa_c[c] + fadh2_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD4fNo2	7.7809e-06 prot_Q88L87[c] + pmet_ACOAD4f[c]  -> dc2coa_c[c] + fadh2_c[c] 	PP_2048	  0.00	999999.00	  0.00
ACOAD4fNo3	7.7809e-06 prot_Q88L96[c] + pmet_ACOAD4f[c]  -> dc2coa_c[c] + fadh2_c[c] 	PP_2039	  0.00	999999.00	  0.00
ACOAD4fNo4	pmet_ACOAD4f[c] + 7.7809e-06 prot_Q88K54[c]  -> dc2coa_c[c] + fadh2_c[c] 	PP_2437	  0.00	999999.00	  0.00
arm_ACOAD5f	ddcacoa_c[c] + fad_c[c]  -> pmet_ACOAD5f[c] 	PP_1893 or PP_2048 or PP_2039 or PP_2437	  0.00	999999.00	  0.00
ACOAD5fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD5f[c]  -> dd2coa_c[c] + fadh2_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD5fNo2	7.7809e-06 prot_Q88L87[c] + pmet_ACOAD5f[c]  -> dd2coa_c[c] + fadh2_c[c] 	PP_2048	  0.00	999999.00	  0.00
ACOAD5fNo3	7.7809e-06 prot_Q88L96[c] + pmet_ACOAD5f[c]  -> dd2coa_c[c] + fadh2_c[c] 	PP_2039	  0.00	999999.00	  0.00
ACOAD5fNo4	7.7809e-06 prot_Q88K54[c] + pmet_ACOAD5f[c]  -> dd2coa_c[c] + fadh2_c[c] 	PP_2437	  0.00	999999.00	  0.00
arm_ACOAD6f	fad_c[c] + tdcoa_c[c]  -> pmet_ACOAD6f[c] 	PP_1893 or PP_2048 or PP_2039 or PP_2437	  0.00	999999.00	  0.00
ACOAD6fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD6f[c]  -> fadh2_c[c] + td2coa_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD6fNo2	7.7809e-06 prot_Q88L87[c] + pmet_ACOAD6f[c]  -> fadh2_c[c] + td2coa_c[c] 	PP_2048	  0.00	999999.00	  0.00
ACOAD6fNo3	7.7809e-06 prot_Q88L96[c] + pmet_ACOAD6f[c]  -> fadh2_c[c] + td2coa_c[c] 	PP_2039	  0.00	999999.00	  0.00
ACOAD6fNo4	7.7809e-06 prot_Q88K54[c] + pmet_ACOAD6f[c]  -> fadh2_c[c] + td2coa_c[c] 	PP_2437	  0.00	999999.00	  0.00
arm_ACOAD7f	fad_c[c] + pmtcoa_c[c]  -> pmet_ACOAD7f[c] 	PP_1893 or PP_0368	  0.00	999999.00	  0.00
ACOAD7fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD7f[c]  -> fadh2_c[c] + hdd2coa_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD7fNo2	pmet_ACOAD7f[c] + 7.7809e-06 prot_Q88QW6[c]  -> fadh2_c[c] + hdd2coa_c[c] 	PP_0368	  0.00	999999.00	  0.00
arm_ACOAD8f	fad_c[c] + stcoa_c[c]  -> pmet_ACOAD8f[c] 	PP_1893 or PP_0368	  0.00	999999.00	  0.00
ACOAD8fNo1	7.7809e-06 prot_Q88LN6[c] + pmet_ACOAD8f[c]  -> fadh2_c[c] + od2coa_c[c] 	PP_1893	  0.00	999999.00	  0.00
ACOAD8fNo2	7.7809e-06 prot_Q88QW6[c] + pmet_ACOAD8f[c]  -> fadh2_c[c] + od2coa_c[c] 	PP_0368	  0.00	999999.00	  0.00
ACOATANo1	accoa_c[c] + ACP_c[c] + 0.00059102 prot_Q88FC3[c] + 0.00059102 prot_Q88LL5[c]  -> acACP_c[c] + coa_c[c] 	PP_1915 and PP_4175	  0.00	999999.00	  0.00
arm_ACODA	acorn_c[c] + h2o_c[c]  -> pmet_ACODA[c] 	PP_5186 or PP_1346	  0.00	999999.00	  0.00
ACODANo1	pmet_ACODA[c] + 7.3099e-08 prot_Q88CJ5[c]  -> ac_c[c] + orn_c[c] 	PP_5186	  0.00	999999.00	  0.00
ACODANo2	pmet_ACODA[c] + 0.00035613 prot_P59612[c]  -> ac_c[c] + orn_c[c] 	PP_1346	  0.00	999999.00	  0.00
arm_ACONCtex	acon_C_e[e]  -> pmet_ACONCtex[e] 	PP_1419 or PP_2058	  0.00	999999.00	  0.00
ACONCtexNo1	pmet_ACONCtex[e] + 9.8503e-07 prot_Q88MZ9[c]  -> acon_C_p[p] 	PP_1419	  0.00	999999.00	  0.00
ACONCtexNo2	pmet_ACONCtex[e] + 9.8503e-07 prot_Q88L77[c]  -> acon_C_p[p] 	PP_2058	  0.00	999999.00	  0.00
ACONMTNo1	acon_T_c[c] + amet_c[c] + 0.04085 prot_Q88JV2[c]  -> aconm_c[c] + ahcys_c[c] 	PP_2545	  0.00	999999.00	  0.00
arm_ACONTa	cit_c[c]  -> pmet_ACONTa[c] 	PP_2112 or PP_2339	  0.00	999999.00	  0.00
ACONTaNo1	pmet_ACONTa[c] + 5.2411e-05 prot_Q88L24[c]  -> acon_C_c[c] + h2o_c[c] 	PP_2112	  0.00	999999.00	  0.00
ACONTaNo2	pmet_ACONTa[c] + 1.38473e-06 prot_Q88KF1[c]  -> acon_C_c[c] + h2o_c[c] 	PP_2339	  0.00	999999.00	  0.00
arm_ACONTb	acon_C_c[c] + h2o_c[c]  -> pmet_ACONTb[c] 	PP_2339 or PP_2112	  0.00	999999.00	  0.00
ACONTbNo1	1.38473e-06 prot_Q88KF1[c] + pmet_ACONTb[c]  -> icit_c[c] 	PP_2339	  0.00	999999.00	  0.00
ACONTbNo2	5.3419e-05 prot_Q88L24[c] + pmet_ACONTb[c]  -> icit_c[c] 	PP_2112	  0.00	999999.00	  0.00
ACOTANo1	acorn_c[c] + akg_c[c] + 0.00017921 prot_P59319[c]  -> acg5sa_c[c] + glu__L_c[c] 	PP_4481	  0.00	999999.00	  0.00
ACPPAT120No1	ddcaACP_c[c] + h_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + ddcap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT140No1	h_c[c] + myrsACP_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + ttdcap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT141No1	h_c[c] + pi_c[c] + tdeACP_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + ttdceap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT160No1	h_c[c] + palmACP_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + hdcap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT161No1	h_c[c] + hdeACP_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + hdceap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT180No1	h_c[c] + ocdcaACP_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + ocdcap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPPAT181No1	h_c[c] + octeACP_c[c] + pi_c[c] + 1.8519e-07 prot_Q88LL5[c] + 1.8519e-07 prot_Q88LL8[c]  -> ACP_c[c] + ocdceap_c[c] 	PP_1915 and PP_1912	  0.00	999999.00	  0.00
ACPS1No1	apoACP_c[c] + coa_c[c] + 2.1872e-05 prot_Q88NM4[c]  -> ACP_c[c] + h_c[c] + pap_c[c] 	PP_1183	  0.00	999999.00	  0.00
arm_ACS	ac_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACS[c] 	PP_4487 or PP_4702 or PP_3071	  0.00	999999.00	  0.00
ACSNo1	pmet_ACS[c] + 2.9551e-08 prot_Q88EH6[c]  -> accoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4487	  0.00	999999.00	  0.00
ACSNo2	pmet_ACS[c] + 2.9551e-08 prot_Q88DW6[c]  -> accoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4702	  0.00	999999.00	  0.00
ACSNo3	pmet_ACS[c] + 0.054595 prot_Q88IC8[c]  -> accoa_c[c] + amp_c[c] + ppi_c[c] 	PP_3071	  0.00	999999.00	  0.00
ACS2No1	atp_c[c] + coa_c[c] + ppa_c[c] + 3.5162e-06 prot_Q88KD9[c]  -> amp_c[c] + ppcoa_c[c] + ppi_c[c] 	PP_2351	  0.00	999999.00	  0.00
arm_ACSPHAC100	R_3hdcaa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC100[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC100No1	pmet_ACSPHAC100[c] + 0.0095785 prot_Q88EB7[c]  -> R_3hdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC100No2	pmet_ACSPHAC100[c] + 0.0095785 prot_Q88EB6[c]  -> R_3hdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC100No3	pmet_ACSPHAC100[c] + 0.0095785 prot_Q88PT5[c]  -> R_3hdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC101	R3hdec4e_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC101[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC101No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC101[c]  -> R3hdec4coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC101No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC101[c]  -> R3hdec4coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC101No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC101[c]  -> R3hdec4coa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC120	R_3hdda_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC120[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC120No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC120[c]  -> R_3hddcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC120No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC120[c]  -> R_3hddcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC120No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC120[c]  -> R_3hddcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC121	R_3hdd5ea_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC121[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC121No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC121[c]  -> R_3hcddec5ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC121No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC121[c]  -> R_3hcddec5ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC121No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC121[c]  -> R_3hcddec5ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC121d6	R_3hdd6e_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC121d6[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC121d6No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC121d6[c]  -> R_3hdd6coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC121d6No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC121d6[c]  -> R_3hdd6coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC121d6No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC121d6[c]  -> R_3hdd6coa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC140	R_3httdca_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC140[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC140No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC140[c]  -> R_3hmrscoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC140No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC140[c]  -> R_3hmrscoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC140No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC140[c]  -> R_3hmrscoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC141	R_3hcmrs7e_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC141[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC141No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC141[c]  -> R_3hcmrs7ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC141No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC141[c]  -> R_3hcmrs7ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC141No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC141[c]  -> R_3hcmrs7ecoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC141d5	R_3htd5e_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC141d5[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC141d5No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC141d5[c]  -> R_3htd5coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC141d5No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC141d5[c]  -> R_3htd5coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC141d5No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC141d5[c]  -> R_3htd5coa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC142	R_3htd58e_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC142[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC142No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC142[c]  -> R_3htd58coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC142No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC142[c]  -> R_3htd58coa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC142No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC142[c]  -> R_3htd58coa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC160	R_3hhdca_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC160[c] 	PP_0763 or PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHAC160No1	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC160[c]  -> R_3hhdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
ACSPHAC160No2	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC160[c]  -> R_3hhdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC160No3	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC160[c]  -> R_3hhdcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHAC40	atp_c[c] + bhb_c[c] + coa_c[c]  -> pmet_ACSPHAC40[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC40No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC40[c]  -> 3hbcoa__R_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC40No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC40[c]  -> 3hbcoa__R_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC40No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC40[c]  -> 3hbcoa__R_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC50	R_3hpt_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC50[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC50No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC50[c]  -> R_3hptcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC50No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC50[c]  -> R_3hptcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC50No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC50[c]  -> R_3hptcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC60	R_3hhxa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC60[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC60No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC60[c]  -> R_3hhcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC60No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC60[c]  -> R_3hhcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC60No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC60[c]  -> R_3hhcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC70	R_3hhpa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC70[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC70No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC70[c]  -> R_3hhpcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC70No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC70[c]  -> R_3hhpcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC70No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC70[c]  -> R_3hhpcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC80	R_3hocta_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC80[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC80No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC80[c]  -> R_3hocoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC80No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC80[c]  -> R_3hocoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC80No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC80[c]  -> R_3hocoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHAC90	R_3hnonaa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHAC90[c] 	PP_4549 or PP_4550 or PP_0763	  0.00	999999.00	  0.00
ACSPHAC90No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHAC90[c]  -> R_3hnonacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHAC90No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHAC90[c]  -> R_3hnonacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
ACSPHAC90No3	0.0095785 prot_Q88PT5[c] + pmet_ACSPHAC90[c]  -> R_3hnonacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_0763	  0.00	999999.00	  0.00
arm_ACSPHACP100	R_3hpdeca_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP100[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP100No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP100[c]  -> R_3hpdecacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP100No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP100[c]  -> R_3hpdecacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP40	R_3hpba_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP40[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP40No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP40[c]  -> R_3hpbcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP40No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP40[c]  -> R_3hpbcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP50	R_3hppta_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP50[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP50No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP50[c]  -> R_3hpptcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP50No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP50[c]  -> R_3hpptcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP60	R_3hphxa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP60[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP60No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP60[c]  -> R_3hphxacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP60No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP60[c]  -> R_3hphxacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP70	R_3hphpa_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP70[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP70No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP70[c]  -> R_3hphpcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP70No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP70[c]  -> R_3hphpcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP80	R_3hpocta_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP80[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP80No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP80[c]  -> R_3hpoctacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP80No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP80[c]  -> R_3hpoctacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACP90	R_3hpnona_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACP90[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACP90No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACP90[c]  -> R_3hpnonacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACP90No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACP90[c]  -> R_3hpnonacoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACT40	R_3h4atba_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACT40[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACT40No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACT40[c]  -> R_3h4atbcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
ACSPHACT40No2	0.0095785 prot_Q88EB6[c] + pmet_ACSPHACT40[c]  -> R_3h4atbcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4550	  0.00	999999.00	  0.00
arm_ACSPHACT60	R_3h6atha_c[c] + atp_c[c] + coa_c[c]  -> pmet_ACSPHACT60[c] 	PP_4549 or PP_4550	  0.00	999999.00	  0.00
ACSPHACT60No1	0.0095785 prot_Q88EB7[c] + pmet_ACSPHACT60[c]  -> R_3h6athcoa_c[c] + amp_c[c] + ppi_c[c] 	PP_4549	  0.00	999999.00	  0.00
