Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ALLTNt2rpp	alltn_p[p] + h_p[p]  -> alltn_c[c] + h_c[c] 	PP_4309	  0.00	999999.00	  0.00
ALLTNtex	alltn_e[e]  -> alltn_p[p] 		  0.00	999999.00	  0.00
AOBUTDs	2aobut_c[c] + h_c[c]  -> aact_c[c] + co2_c[c] 	PP_s0001	  0.00	999999.00	  0.00
AOXHEXCYCL	6a2ohxnt_c[c]  -> 1pipdn2c_c[c] + h2o_c[c] 	PP_s0001	  0.00	999999.00	  0.00
APCt5	apc_c[c] + h_p[p]  -> apc_e[e] + h_c[c] 	(PP_1386 and PP_1385 and PP_1384) or (PP_0958 and PP_0959 and PP_0960)	  0.00	999999.00	  0.00
APCt6	apc_p[p] + h_p[p]  -> apc_e[e] + h_c[c] 	(PP_1386 and PP_1385 and PP_1384) or (PP_0958 and PP_0959 and PP_0960)	  0.00	999999.00	  0.00
APCtex	apc_e[e]  -> apc_p[p] 		  0.00	999999.00	  0.00
APCtpp	apc_p[p]  -> apc_c[c] 		  0.00	999999.00	  0.00
APPLDHr	aact_c[c] + h_c[c] + nadh_c[c]  -> appl_c[c] + nad_c[c] 		  0.00	999999.00	  0.00
ARBTNR1	2 arbtn_fe3_c[c] + fadh2_c[c]  -> 2 arbtn_c[c] + fad_c[c] + 2 fe2_c[c] + 2 h_c[c] 		  0.00	999999.00	  0.00
ARBTNR2	2 arbtn_fe3_c[c] + fmnh2_c[c]  -> 2 arbtn_c[c] + fmn_c[c] + 2 fe2_c[c] + 2 h_c[c] 		  0.00	999999.00	  0.00
ARBTNexs	arbtn_e[e] + fe3_e[e]  -> arbtn_fe3_e[e] 	PP_s0001	  0.00	999999.00	  0.00
ARBTNtex	arbtn_p[p] + h_p[p]  -> arbtn_e[e] + h_c[c] 		  0.00	999999.00	  0.00
ARBTNtonex	arbtn_fe3_e[e] + h_p[p]  -> arbtn_fe3_p[p] + h_c[c] 	PP_2193 and PP_5306 and PP_5307 and PP_5308	  0.00	999999.00	  0.00
ARBTNtpp	arbtn_c[c] + h_p[p]  -> arbtn_p[p] + h_c[c] 		  0.00	999999.00	  0.00
ARBt3ipp	arab__L_c[c] + h_p[p]  -> arab__L_p[p] + h_c[c] 	PP_2428	  0.00	999999.00	  0.00
ARGORNt7pp	arg__L_p[p] + orn_c[c]  -> arg__L_c[c] + orn_p[p] 	PP_1002 or PP_1003	  0.00	999999.00	  0.00
ARGt2pp	arg__L_p[p] + h_p[p]  -> arg__L_c[c] + h_c[c] 	PP_3727	  0.00	999999.00	  0.00
ASNtex	asn__L_e[e]  -> asn__L_p[p] 		  0.00	999999.00	  0.00
ASO3t2pp	aso3_c[c] + h_p[p]  -> aso3_p[p] + h_c[c] 	PP_1929 or PP_2717	  0.00	999999.00	  0.00
ASO3tex	aso3_e[e]  -> aso3_p[p] 		  0.00	999999.00	  0.00
