prot_IDs	usage
prot_Q88DY2_exchange	0
prot_Q88DY5_exchange	0.00751412453423182
prot_Q88DY8_exchange	0.0345848007215308
prot_Q88DY9_exchange	0.0330509379262711
prot_Q88DZ0_exchange	0.0229865328164982
prot_Q88E01_exchange	0.231152620055487
prot_Q88E02_exchange	0.000389161218630679
prot_Q88E09_exchange	0
prot_Q88E12_exchange	0.596934150001711
prot_Q88E22_exchange	0.0266347163998311
prot_Q88E29_exchange	0
prot_Q88E32_exchange	0
prot_Q88E33_exchange	0
prot_Q88E36_exchange	0.426776517841776
prot_Q88E40_exchange	0.00524207488344179
prot_Q88E48_exchange	0
prot_Q88E72_exchange	1
prot_Q88E95_exchange	0
prot_Q88E96_exchange	1
prot_Q88EB6_exchange	0
prot_Q88EB7_exchange	0
prot_Q88EC1_exchange	0.828707733721581
prot_Q88EH2_exchange	1
prot_Q88EH6_exchange	0.00140090565250368
prot_Q88EH7_exchange	0
prot_Q88EI0_exchange	0
prot_Q88EI2_exchange	0
prot_Q88EI3_exchange	0
prot_Q88EI4_exchange	0
prot_Q88EI5_exchange	0
prot_Q88EI7_exchange	0
prot_Q88EI8_exchange	0.10337866818349
prot_Q88EI9_exchange	0.0882206432738004
prot_Q88EM2_exchange	0
prot_Q88EM6_exchange	0
prot_Q88EN1_exchange	0
prot_Q88EN3_exchange	1
prot_Q88EQ0_exchange	0.0177378980558482
prot_Q88ES4_exchange	0.000281689111899667
prot_Q88EZ5_exchange	0
prot_Q88F00_exchange	0
prot_Q88F01_exchange	0.000206659566947638
prot_Q88F02_exchange	0
prot_Q88F12_exchange	0
prot_Q88F13_exchange	0
prot_Q88F14_exchange	0
prot_Q88F18_exchange	0
prot_Q88F20_exchange	0
prot_Q88F21_exchange	0
prot_Q88F33_exchange	0.0204971022204597
prot_Q88F35_exchange	0.000242649473095397
prot_Q88F43_exchange	0
prot_Q88F62_exchange	0
prot_Q88F95_exchange	1
prot_Q88F96_exchange	0.0274821904452669
prot_Q88F97_exchange	0.0311327201901126
prot_Q88FA4_exchange	0.363666205052301
prot_Q88FA5_exchange	0.10692437720998
prot_Q88FA6_exchange	0.10692437720998
prot_Q88FA7_exchange	0.10692437720998
prot_Q88FA8_exchange	0.10692437720998
prot_Q88FA9_exchange	0.363404417194686
prot_Q88FB0_exchange	0.124776933037892
prot_Q88FB1_exchange	0.0960807431189871
prot_Q88FB2_exchange	0.0206948234388378
prot_Q88FB3_exchange	0.0274525777749661
prot_Q88FC3_exchange	1
prot_Q88FC4_exchange	1
prot_Q88FC9_exchange	0.139331278940196
prot_Q88FF3_exchange	0
prot_Q88FF8_exchange	0
prot_Q88FG5_exchange	0.334124136592075
prot_Q88FG6_exchange	0.334124136592075
prot_Q88FG7_exchange	0.334124136592075
prot_Q88FG8_exchange	0.334124136592075
prot_Q88FG9_exchange	0.334124136592075
prot_Q88FH0_exchange	0.334124136592075
prot_Q88FH1_exchange	0.334124136592075
prot_Q88FH2_exchange	0.334124136592075
prot_Q88FH3_exchange	0.334124136592075
prot_Q88FH4_exchange	0.334124136592075
prot_Q88FH5_exchange	0.334124136592075
prot_Q88FH6_exchange	0.334124136592075
prot_Q88FH7_exchange	0.334124136592075
prot_Q88FI0_exchange	0
prot_Q88FM2_exchange	1
prot_Q88FM3_exchange	0.0124940930368469
prot_Q88FM4_exchange	0.916049844391519
prot_Q88FM5_exchange	0.140961769056502
prot_Q88FN0_exchange	0
prot_Q88FN1_exchange	0
prot_Q88FN4_exchange	0
prot_Q88FN6_exchange	0
prot_Q88FN7_exchange	0
prot_Q88FN8_exchange	0
prot_Q88FN9_exchange	0
prot_Q88FP6_exchange	1
prot_Q88FQ0_exchange	0.170703417047723
prot_Q88FQ1_exchange	0.0600658518256628
prot_Q88FQ3_exchange	0
prot_Q88FQ8_exchange	0
prot_Q88FR7_exchange	0.800240082180597
prot_Q88FS1_exchange	0.1073254818947
prot_Q88FS2_exchange	0
prot_Q88FT2_exchange	0
prot_Q88FT3_exchange	0.00176788006749072
prot_Q88FU3_exchange	0
prot_Q88FX5_exchange	0.932985513124964
prot_Q88G81_exchange	0
prot_Q88G86_exchange	0
prot_Q88GA4_exchange	0.00984546330029499
prot_Q88GA5_exchange	0.0697270874039611
prot_Q88GD0_exchange	0
prot_Q88GD4_exchange	0.138955003082164
prot_Q88GE6_exchange	0.00169770881057039
prot_Q88GF8_exchange	0
prot_Q88GG9_exchange	0.0628274217045185
prot_Q88GH0_exchange	0
prot_Q88GJ9_exchange	0
prot_Q88GK0_exchange	0
prot_Q88GK1_exchange	0
prot_Q88GQ0_exchange	4.48317326416422e-06
prot_Q88GT1_exchange	0
prot_Q88GT2_exchange	0
prot_Q88GW5_exchange	0
prot_Q88GW9_exchange	0
prot_Q88GX6_exchange	0
prot_Q88GX7_exchange	1
prot_Q88GY7_exchange	0.0161082727611154
prot_Q88H25_exchange	0.00122629811730146
prot_Q88H30_exchange	0
prot_Q88H35_exchange	0
prot_Q88H54_exchange	0.0584494109805015
prot_Q88HB4_exchange	0
prot_Q88HB7_exchange	0.231385618631815
prot_Q88HC7_exchange	0
prot_Q88HE4_exchange	0.742441039777658
prot_Q88HF0_exchange	0.796985524608131
prot_Q88HH4_exchange	0.0845584229944297
prot_Q88HH5_exchange	0.121530125111257
